Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U1         LQFP-144_20X20mm   1301.736mil   1737.312mil   1301.736mil   1737.312mil   1353.934mil   2276.689mil  B        225.00 STM32F746ZET   
R24        ERA-0603              1300mil       2435mil       1300mil       2435mil   1266.535mil       2435mil  T        360.00 0R             
R25        ERA-0603              1330mil       1470mil       1330mil       1470mil       1330mil   1436.535mil  T         90.00 2K7            
R26        ERA-0603              1270mil       1470mil       1270mil       1470mil       1270mil   1436.536mil  T         90.00 2K7            
R27        ERA-0603              2310mil       1695mil       2310mil       1695mil   2276.535mil       1695mil  B        360.00 0R             
R28        ERA-0603          2067.674mil   1985.851mil   2067.674mil   1985.851mil   2091.337mil   2009.514mil  T        225.00 10K            
R29        ERA-0603               664mil       1091mil        664mil       1091mil    697.465mil       1091mil  T        180.00 560R           
R30        ERA-0603          1979.286mil   2031.813mil   1979.286mil   2031.813mil   1955.623mil   2055.476mil  T        315.00 1K             
R31        ERA-0603               955mil       2455mil        955mil       2455mil    988.465mil       2455mil  T        180.00 330R           
R32        ERA-0603               690mil        880mil        690mil        880mil    656.535mil        880mil  T        360.00 NF             
R33        ERA-0603               690mil        820mil        690mil        820mil    656.536mil        820mil  T        360.00 NF             
R34        ERA-0603               690mil        760mil        690mil        760mil    656.535mil        760mil  T        360.00 0R             
R35        ERA-0603               664mil       1161mil        664mil       1161mil    630.535mil       1161mil  T        360.00 220R           
R36        ERA-0603               690mil        690mil        690mil        690mil    656.535mil        690mil  T        360.00 0R             
R37        ERA-0603               690mil        630mil        690mil        630mil    656.536mil        630mil  T        360.00 0R             
R38        ERA-0603               688mil        560mil        688mil        560mil    654.535mil        560mil  T        360.00 NF             
R39        ERA-0603              1915mil       2350mil       1915mil       2350mil   1891.337mil   2373.663mil  T        315.00 10K            
R40        ERA-0603               690mil        490mil        690mil        490mil    723.465mil        490mil  T        180.00 2K2            
R41        ERA-0603               664mil        946mil        664mil        946mil    697.465mil        946mil  T        180.00 560R           
R42        ERA-0603          1788.367mil   2222.731mil   1788.367mil   2222.732mil   1764.704mil   2246.394mil  T        315.00 1K             
R43        ERA-0603               660mil    396.536mil        660mil    396.536mil        660mil    363.071mil  T         90.00 1K             
R44        ERA-0603               664mil       1016mil        664mil       1016mil    630.535mil       1016mil  T        360.00 220R           
R45        ERA-0603               455mil    930.464mil        455mil    930.465mil        455mil    963.929mil  B        270.00 100K           
R46        ERA-0603               225mil       1105mil        225mil       1105mil        225mil   1071.535mil  B         90.00 4K7            
R47        ERA-0805               430mil        780mil        430mil        780mil        430mil    742.598mil  B         90.00 10R            
R48        ERA-0603               165mil       1105mil        165mil       1105mil        165mil   1071.536mil  B         90.00 0R             
R51        ERA-0603              1970mil        420mil       1970mil        420mil   2003.464mil        420mil  B        180.00 2K2            
